0 83 1234567 191 1234567 1234567 1234567 1234567 1234567 1234567
83 0 138 1234567 1234567 1234567 173 1234567 1234567 1234567
1234567 138 0 1234567 1234567 1234567 1234567 1234567 1234567 105
191 1234567 1234567 0 103 1234567 113 1234567 1234567 1234567
1234567 1234567 1234567 103 0 149 98 190 1234567 1234567
1234567 1234567 1234567 1234567 149 0 1234567 47 1234567 1234567
1234567 173 1234567 113 98 1234567 0 185 1234567 154
1234567 1234567 1234567 1234567 190 47 185 0 87 1234567
1234567 1234567 1234567 1234567 1234567 1234567 1234567 87 0 153
1234567 1234567 105 1234567 1234567 1234567 154 1234567 153 0
